vertical,the children kept playing,maze,been your home
waxy,things got complicated,leviathan,kept you satiated
planetary,its frontiers dissolved,platform,protected you
science-loving,it became sentient,garden,been a source of peace and quiet
culturally rich,the sun rose that day,project,kept you disillusioned
digital,the ball rolled into the alley,invention,strengthened your convictions
ephemeral,the clouds formed,archipelago,helped you escape the dullness of the world
crowdsourced,you picked up your meal,gem,so pleasantly erased your sense of self
connected,the dog crossed the road,joy,been evicting your neighbors
healthy,you retrieved your bank statement,shadow,been so lucrative for your community
accessible,the fish fell from the sky,destination,diligently cared for your every need
algorithmic,the digital fog emerged,equation,drastically reduced its own ecological footprint
geometric,the can turned out to be empty,abstraction,kept unwanted attention at bay
sandy,the cars disappeared,ruin,made sure to avoid dependencies on foreign land
vibrational,the data started singing,contradiction,informed your sense of self and being
tactile,the trees became pixelated,knot,never let you go hungry
computational,the mayor was replaced by this new organization ,island,never fully revealed itself to you
warm,offices became obsolete,rhizome,made you who you are
peculiar,fossil fuels ran out,concept,kept your family afloat
lush,the screens vanished,warehouse,shielded your loved ones from harm 
welcoming,western influences faded into the ether of time,fulfillment center,provided you with all the distractions you could hope for
wise,the locks in the city unlocked,parking lot,delivered you a poem on your doorstep each day
mysterious,it hid its biases behind luxurious institutions,raft,been taken over by native plants
emerging,it became impossible to leave,encyclopedia,invaded nearby towns
infinite,the flowers wilted,museum,kept homelessness at bay
emergent,the mountain shook,shadow,tried to get rid of its carceral system
carless,the traffic emerged,palace,been facing floods
decentralized,people started swimming in the river again,cloister,been getting evacuated
self-sufficient,the bee population stabilized again,prison,given up on the concept of privacy
horizontal,honey became a source of energy,cave,been using the universal basic income
old-fashioned,the athletes returned home,nest,kept you connected to the world
glass-plated,working out became compulsory for residents,cocoon,facilitated trade
reproductive,sand ran out on Earth,marketplace,made it so easy to find work 
multi-lingual,the first galactic city was founded,monument,made you feel so empowered yet so vulnerable
democratic,food production was shifted into the city,theme park,had made it so fun and easy to maintain it
ranking-obsessed,all global imports were halted,,
Self-healing,the city grew into the sea,,
,the sewers AI glitched,,
,your friend was arrested,,
,the self-driving garbage truck rammed the parliament,,
,the squirrel hacked your hydroponic acorn plantation,,
,the micro-chips melted,,
,the stadium became sentient,,
,the pandemic hit,,
,the barge blocked the canal,,
,flooding became a monthly reality,,
,it became too hot to go outside in the summer,,
,theme parks gained the status of sovereign states,,
,it no longer was safe for you to live in ,,
,rent became unaffordable,,
,consumer brands went bankrupt,,
,Chief Purpose Officers became billionaires,,
